created_sthlm,team_id,status,error_class,http_status,message,content_item_id
2026-08-04 08:51:35.887455,liverpool,failure,apns_error,,"APNs: 0 sent, 2 failed of 2 (other:2)",6bcbe2fc-d431-424b-8dcc-e56c632f66ad
2026-08-05 00:48:27.275697,liverpool,failure,apns_error,,"APNs: 0 sent, 2 failed of 2 (other:2)",e1852fe5-9c1e-444c-b729-df9609d98a19
2026-08-28 08:37:04.568,arsenal,partial,token_expired,,"APNs: 9 sent, 1 failed of 10 (410:1)",b3b81bc8-3258-4448-bf40-374cf4487bcc
